date,product,quantity,unitPrice
2026-06-15,"Maggi 2-Minute Noodles 70g",15,14.00
2026-06-15,"Nestle Classic Coffee 50g",5,175.00
2026-06-15,"Coca-Cola Original 750ml",15,45.00
2026-06-15,"Pepsi Can 300ml",8,40.00
2026-06-15,"Real Fruit Juice Mixed Fruit 1L",6,120.00
2026-06-15,"Parle-G Gold Biscuits 1kg",7,130.00
2026-06-15,"Britannia Good Day Butter 200g",12,50.00
2026-06-15,"Britannia Marie Gold 250g",12,35.00
2026-06-15,"Lay's Classic Salted Chips 50g",18,20.00
2026-06-15,"Kurkure Masala Munch 80g",18,20.00
2026-06-15,"Amul Taaza Homogenised Toned Milk 1L",21,72.00
2026-06-15,"Amul Salted Butter 500g",6,275.00
2026-06-15,"Kellogg's Corn Flakes 475g",3,220.00
2026-06-15,"Aashirvaad Superior MP Sharbati Atta 5kg",8,310.00
2026-06-15,"Tata Salt Vacuum Evaporated 1kg",18,28.00
2026-06-15,"Tata Sampann Toor Dal 1kg",9,175.00
2026-06-15,"Fortune Sunlite Refined Sunflower Oil 1L",13,155.00
2026-06-15,"Surf Excel Easy Wash Detergent Powder 1kg",6,145.00
2026-06-15,"Vim Dishwash Liquid Gel 500ml",6,130.00
2026-06-15,"Colgate MaxFresh Blue Gel Toothpaste 150g",6,120.00
2026-06-15,"Head & Shoulders Anti-Dandruff Shampoo 340ml",5,320.00
2026-06-15,"Dettol Original Bathing Soap (Pack of 4)",7,190.00
2026-06-15,"Premium Saffron Special Tea 250g",2,600.00
2026-06-15,"Exotic Dark Truffle Chocolate 150g",2,420.00
2026-06-16,"Maggi 2-Minute Noodles 70g",20,14.00
2026-06-16,"Nestle Classic Coffee 50g",4,175.00
2026-06-16,"Coca-Cola Original 750ml",14,45.00
2026-06-16,"Pepsi Can 300ml",12,40.00
2026-06-16,"Real Fruit Juice Mixed Fruit 1L",6,120.00
2026-06-16,"Parle-G Gold Biscuits 1kg",9,130.00
2026-06-16,"Britannia Good Day Butter 200g",12,50.00
2026-06-16,"Britannia Marie Gold 250g",11,35.00
2026-06-16,"Lay's Classic Salted Chips 50g",17,20.00
2026-06-16,"Kurkure Masala Munch 80g",17,20.00
2026-06-16,"Amul Taaza Homogenised Toned Milk 1L",24,72.00
2026-06-16,"Amul Salted Butter 500g",6,275.00
2026-06-16,"Kellogg's Corn Flakes 475g",5,220.00
